Product Name,Price,Rating,Features
Mi A series 108 cm (43 inch) Full HD LED Smart Google TV with Bezel-less Design and Dolby Audio (2023 ...,"₹23,999",4.3,Operating System: Google TVFull HD 1920 x 1080 Pixels1 Year Warranty on Product and 2 Years Warranty on Panel
LG 80 cm (32 inch) HD Ready LED Smart WebOS TV,"₹12,490",4.4,Operating System: WebOSHD Ready 1366 x 768 Pixels2 Years Warranty : 1 Year LG India Comprehensive Warranty and additional 1 year Warranty is applicable on panel/module from the date of purchase (Valid till - 30th Sep'23)
SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV with Bezel-free Design,"₹13,990",4.4,Operating System: TizenHD Ready 1366 x 768 Pixels1 Year Comprehensive Warranty on Product and 1 Year Additional on Panel
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),"₹11,999",4.3,Operating System: AndroidHD Ready 1366 x 768 Pixels1 Year Warranty on Product and 2 Years Warranty on Panel. OEM warranty activation starts from the date of delivery.
OnePlus Y1S 80 cm (32 inch) HD Ready LED Smart Android TV with Android 11 and Bezel-Less Frame,"₹15,999",4.3,Operating System: AndroidHD Ready 1366 x 768 Pixels1 Year Comprehensive Warranty and Additional 1 Year on Panel Provided By the Manufacturer From Date of Purchase
iFFALCON by TCL 80.04 cm (32 inch) HD Ready LED Smart Android TV with Bezel-Less design & 24W Speaker,"₹10,999",4.2,Operating System: AndroidHD Ready 1366 x 768 Pixels1 Year Warranty on Product
Mi A series 100 cm (40 inch) Full HD LED Smart Google TV,"₹22,999",4.3,Operating System: Google TVFull HD 1920 x 1080 Pixels1 Year Warranty on Product and 2 Years Warranty on Panel
Mi A series 80 cm (32 inch) HD Ready LED Smart Google TV with 1.5 GB RAM and Dolby Audio (2023 Model),"₹12,999",4.3,Operating System: Google TVHD Ready 1366 x 768 Pixels1 Year Warranty on Product and 2 Years Warranty on Panel
OnePlus Y1S 101 cm (40 inch) Full HD LED Smart Android TV with Android 11 and Bezel-Less Frame,"₹21,999",4.3,Operating System: AndroidFull HD 1920 x 1080 Pixels1 Year Warranty on Product and 1 Year Additional Warranty for Panel
Adsun 80 cm (32 inch) HD Ready LED TV,"₹6,899",3.9,HD Ready 1366 x 768 Pixels1 Year Warranty on Product
"Dyanora 60 cm (24 inch) HD Ready LED Smart Android Based TV with Noise Reduction, Android 9.0, Powerfu...","₹6,849",4.1,Operating System: Android BasedHD Ready 1366 x 768 Pixels1 Year Manufacturer Warranty from the Date of Purchase from Dyanora
"LG UQ7500 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV 2022 Edition with Filmmaker Mode, AI Sound...","₹28,990",4.4,Operating System: WebOSUltra HD (4K) 3840 x 2160 Pixels2 Years Warranty : 1 Year LG India Comprehensive Warranty and additional 1 year Warranty is applicable on panel/module from the date of purchase (Valid till - 30th Sep'23)
Thomson Alpha 80 cm (32 inch) HD Ready LED Smart Linux TV with 30 W Sound Output & Bezel-Less Design,"₹8,499",4.4,Operating System: LinuxHD Ready 1366 x 768 Pixels1 Year Warranty on Product and 6 Months on Accessories
OnePlus Y1S 108 cm (43 inch) Full HD LED Smart Android TV with Android 11 and Bezel-Less Frame,"₹24,999",4.3,Operating System: AndroidFull HD 1920 x 1080 Pixels1 Year Comprehensive Warranty and Additional 1 Year on Panel Provided By the Manufacturer From Date of Purchase
iFFALCON by TCL U62 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV with Bezel-Less Design and Dolb...,"₹23,999",4.2,Operating System: Google TVUltra HD (4K) 3840 x 2160 Pixels1 Year Warranty on Product
TOSHIBA 80 cm (32 inch) HD Ready LED Smart Android TV with DTS X (2023 Model),"₹12,499",4.2,Operating System: AndroidHD Ready 1366 x 768 Pixels2 Years Warranty on Product and Panel
Mi X Series 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision and 30W Dolby Audio ...,"₹25,999",4.3,Operating System: AndroidUltra HD (4K) 3840 x 2160 Pixels1 Year Warranty on Product and 2 Years Warranty on Panel. OEM warranty activation starts from the date of delivery.
SAMSUNG Crystal 4K iSmart Series 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV with Black (2023 Mo...,"₹30,990",4.3,Operating System: TizenUltra HD (4K) 3840 x 2160 Pixels1-year comprehensive warranty on product and 1 year additional on Panel provided by the brand from the date of purchase
Infinix Y1 80 cm (32 inch) HD Ready LED Smart Linux TV with Wall Mount,"₹8,499",4.2,Operating System: LinuxHD Ready 1366 x 768 Pixels1 Year Domestic Warranty
Thomson 139 cm (55 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Vision & Dolby Atmos,"₹38,999",4.6,Operating System: Google TVUltra HD (4K) 3840 x 2160 Pixels1 Year Warranty on Product and 6 Months Warranty on Accessories
MarQ by Flipkart by Flipkart 80 cm (32 inch) HD Ready LED TV,"₹7,323",4.2,HD Ready 1366 x 768 Pixels1 Year Warranty
SONY Bravia 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV,"₹40,990",4.6,Operating System: Google TVUltra HD (4K) 3840 x 2160 Pixels1 year Comprehensive warranty by the manufacture from the date of purchase | Contact Brand toll free number for assistance and provide product's model name and seller's details mentioned on your invoice. The service center will allot you a convenient slot for the service.
"Acer I Series 80 cm (32 inch) HD Ready LED Smart Android TV with Android 11, 1.5GB RAM (2022 Model)","₹10,499",4.3,Operating System: AndroidHD Ready 1366 x 768 Pixels1 Year Warranty
